femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,001,99001,Alachua (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,93a59d4d8f26ec5507f34aeb06b86fe1e98f2f3d,c2833057-166d-4f85-a53f-5e4ae70b1b5e
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,003,99003,Baker (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,74125142f6e1e0dc18bc4c90e832e6b3f32bff13,6bc776fc-98e1-40f4-ab8d-c393a7cf0326
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,007,99007,Bradford (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,55ca100e2799d9613ce8dd9395ca5acc679de40c,5a5896ee-efca-45f4-85de-4cdc55c4f2c5
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,011,99011,Broward (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,e8fb0634984472c53d452fe862f458853a73ba43,202f3a2d-9bc2-47eb-917a-723b4cf7f588
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,013,99013,Calhoun (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,bede4bd4b03e51fd25cb1d73d958d6b0d3877299,2cf3a8c1-765c-4309-9535-672f6de1d314
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,015,99015,Charlotte (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,2fa1341274c9d7a9254dfecf59e8f21cd8143c0a,7806e82c-6e2c-4e86-bbf3-1ec31c2b90fb
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,017,99017,Citrus (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,966ff23a67b7d90e17d7962736a4931a294d9b5a,50a2bc30-b7d2-48cd-8005-267a408eac7b
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,019,99019,Clay (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,bc43a1f0ddc9a9bef7861688898b7fd4c249ef7a,4818d174-d612-4453-8087-a3a7c185d154
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,021,99021,Collier (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,04efc7449fab0f47cb5e362454cd26e4f2e6e47f,63a708cb-0f9e-46bf-bf50-b73c5c6e6444
DR-4680-FL,4680,FL,DR,2022-12-13T00:00:00.000Z,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,023,99023,Columbia (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,c689e6cc27c243c90fa332cde3f2cd68deb13e4e,20c08dcb-379e-4932-a103-2f587a8349ea
